generator,n_assets,n_lint_errors,n_ok,pass_rate,defect_not_watertight,defect_non_manifold,defect_uv_missing,defect_inverted_normals,defect_inconsistent_normals,defect_floating_debris,defect_over_budget,defect_vertex_color_only,faces_median,faces_p90,unity_mobile_triangle_cap,over_unity_mobile_budget,n_fail,heal_full,heal_partial,heal_none,heal_errored,n_introduced_regressions,wall_ms_p50,wall_ms_p90,wall_ms_max
OVERALL,2307,303,2004,0.27095808383233533,0.3373253493013972,0.0968063872255489,0.3972055888223553,0.0,0.018463073852295408,0.046906187624750496,0.6192614770459082,0.14920159680638723,77402.0,618084.6000000002,30000,0.7979041916167665,1461,0.6365503080082136,0.33607118412046544,0.02737850787132101,0.0,312,15325.55,33087.32,356544.5
3DTopia-XL,101,0,101,0.297029702970297,0.36633663366336633,0.0,0.0,0.0,0.009900990099009901,0.21782178217821782,0.48514851485148514,0.0,48794.0,77462.0,30000,0.7920792079207921,71,0.5774647887323944,0.3380281690140845,0.08450704225352113,0.0,2,3102.7,31055.7,38766.5
404_GEN,101,101,0,,,,,,,,,,,,,,,,,,,,,,
Hi3DGen,101,0,101,0.0,0.297029702970297,0.0,1.0,0.0,0.0,0.009900990099009901,1.0,0.0,632684.0,1157000.0,30000,1.0,101,0.7722772277227723,0.22772277227722773,0.0,0.0,20,22935.7,41074.6,72651.7
Hunyuan3D-2,101,0,101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,40000.0,30000,1.0,,,,,,0,202.7,259.3,384.0
Hunyuan3D-2.1,101,0,101,0.9603960396039604,0.0,0.019801980198019802,0.0,0.0,0.0,0.0297029702970297,0.0,0.0,40000.0,40000.0,30000,0.9900990099009901,4,0.75,0.0,0.25,0.0,0,406.5,580.2,1204.2
IM-MA,101,0,101,0.0,0.7920792079207921,0.5346534653465347,1.0,0.0,0.039603960396039604,0.16831683168316833,0.0,1.0,600.0,761.0,30000,0.0,101,0.36633663366336633,0.6336633663366337,0.0,0.0,3,4136.2,5788.9,9553.7
InstantMesh,101,0,101,0.0,0.0891089108910891,0.019801980198019802,1.0,0.0,0.1485148514851485,0.13861386138613863,0.8217821782178217,0.0,74500.0,151556.0,30000,0.9504950495049505,101,0.8811881188118812,0.1188118811881188,0.0,0.0,10,21173.2,34599.6,51706.2
LGM,101,101,0,,,,,,,,,,,,,,,,,,,,,,
MeshFormer,93,0,93,0.0,0.21505376344086022,0.0,1.0,0.0,0.0,0.010752688172043012,1.0,0.0,96892.0,99748.4,30000,1.0,93,0.3010752688172043,0.6989247311827957,0.0,0.0,65,18619.8,37128.67999999999,230077.9
Meshy-5,98,0,98,0.1326530612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.8673469387755102,0.0,69170.0,92289.6,30000,0.9795918367346939,85,1.0,0.0,0.0,0.0,0,19108.2,27582.53,41706.9
Meshy-6,101,0,101,0.0,0.9900990099009901,0.0,0.0,0.0,0.0,0.009900990099009901,1.0,0.0,299266.0,299759.0,30000,1.0,101,0.33663366336633666,0.6633663366336634,0.0,0.0,49,25952.3,34723.6,46582.2
Real3D,101,0,101,0.0,1.0,0.44554455445544555,1.0,0.0,0.0,0.019801980198019802,0.9900990099009901,1.0,205508.0,308479.0,30000,1.0,101,0.6831683168316832,0.31683168316831684,0.0,0.0,14,21810.5,28206.7,34755.4
SAM-3D-Objects-3DGS,101,101,0,,,,,,,,,,,,,,,,,,,,,,
SF3D,101,0,101,0.9504950495049505,0.0,0.0297029702970297,0.0,0.0,0.0,0.009900990099009901,0.009900990099009901,0.0,24128.0,35816.0,30000,0.2871287128712871,5,1.0,0.0,0.0,0.0,0,69.8,134.3,14877.9
SPAR3D,101,0,101,0.9108910891089109,0.0,0.009900990099009901,0.0,0.0,0.0,0.009900990099009901,0.07920792079207921,0.0,29936.0,47512.0,30000,0.49504950495049505,9,1.0,0.0,0.0,0.0,0,81.3,190.2,25554.0
Strawb3rry,101,0,101,0.009900990099009901,0.15841584158415842,0.0,0.0,0.0,0.0,0.0,0.9900990099009901,0.0,163878.0,293332.0,30000,0.9900990099009901,100,0.94,0.06,0.0,0.0,4,16351.6,25541.5,41638.1
Strawberrry,101,0,101,0.4752475247524752,0.13861386138613863,0.039603960396039604,0.0,0.0,0.0,0.009900990099009901,0.44554455445544555,0.0,21362.0,59542.0,30000,0.44554455445544555,53,0.7358490566037735,0.1320754716981132,0.1320754716981132,0.0,2,1135.6,19379.3,40351.3
TRELLIS,100,0,100,0.65,0.32,0.0,0.0,0.0,0.0,0.03,0.04,0.0,16403.0,34679.100000000006,30000,0.16,35,0.17142857142857143,0.08571428571428572,0.7428571428571429,0.0,0,109.05000000000001,1250.8800000000003,12490.7
TRELLIS.2-4B,101,0,101,0.0,0.7524752475247525,0.1485148514851485,0.0,0.0,0.04950495049504951,0.06930693069306931,1.0,0.0,290881.0,298573.0,30000,1.0,101,0.26732673267326734,0.7326732673267327,0.0,0.0,70,28526.2,117859.6,356544.5
TripoSG,101,0,101,0.0,0.13861386138613863,0.32673267326732675,1.0,0.0,0.0,0.0594059405940594,1.0,0.0,1367152.0,2444200.0,30000,1.0,101,0.6534653465346535,0.3465346534653465,0.0,0.0,17,28457.7,83154.2,259390.5
TripoSR,97,0,97,0.0,1.0,0.14432989690721648,1.0,0.0,0.0,0.08247422680412371,0.6907216494845361,1.0,60876.0,105524.60000000002,30000,0.8865979381443299,97,0.9072164948453608,0.09278350515463918,0.0,0.0,2,22600.1,34237.840000000004,49577.7
Unique3D,101,0,101,0.0,0.49504950495049505,0.06930693069306931,1.0,0.0,0.1188118811881188,0.039603960396039604,1.0,0.0,665808.0,917216.0,30000,1.0,101,0.37623762376237624,0.6237623762376238,0.0,0.0,48,23409.5,51098.5,111029.6
Zaohaowu3D,101,0,101,0.0,0.0,0.13861386138613863,0.0,0.0,0.0,0.019801980198019802,1.0,0.0,500000.0,500000.0,30000,1.0,101,0.9306930693069307,0.06930693069306931,0.0,0.0,6,13558.3,19594.9,114850.6
